;nome_do_indicador;tema_(s);periodicidade;fonte;fonte_ibge;ultima_atualizacao;offset;ano_atual;atualizado;atualizado_txt;ultimo_ano_atualizavel;delay_atualizacao
0;11.02.06 Percentual do viário da cidade com infraestrutura priorizada aos ônibus (faixas exclusivas) (%);Mobilidade e Segurança no Trânsito,ODS São Paulo;anual;Secretaria Municipal de Mobilidade e Trânsito (SMT);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
1;16.07.01 Número de Consultas Públicas feitas pelo Participe+;Gestão Pública,ODS São Paulo;anual;Secretaria do Governo Municipal (SGM);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
2;15.01.06 Unidades de Conservação – Planos de Manejo (%);Meio Ambiente,ODS São Paulo;anual;Secretaria Municipal do Verde e do Meio Ambiente (SVMA) / Coordenação de Gestão de Parques e Biodiversidade Municipal (CGPABI) / Divisão de Gestão de Unidades de Conservação (DGUC);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
3;Taxa de ocorrências registradas de roubos (por 100 mil hab);Segurança e Violência;anual;"Fundação Sistema Estadual de Análise de Dados (SEADE) Secretaria de Segurança Pública (SSP); Secretaria de Desenvolvimento Urbano (SMDU)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
4;03.06.08 Participação dos caminhões nos acidentes fatais de trânsito (%);Mobilidade e Segurança no Trânsito,ODS São Paulo;anual;"Companhia de Engenharia de Tráfego (CET); Secretaria Municipal de Mobilidade e transportes (SMT)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
5;Investimento realizado pela Prefeitura - Valor Empenhado (em bilhões R$);Finanças Públicas;anual;Secretaria Municipal da Fazenda (SF);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
6;Taxa de ocorrências registradas de homicídios dolosos (por 100 mil hab);Segurança e Violência;anual;"Fundação Sistema Estadual de Análise de Dados (SEADE) Secretaria de Segurança Pública (SSP); Secretaria de Desenvolvimento Urbano (SMDU)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
7;05.02.07 Número de casos notificados de violência contra mulheres e meninas;Direitos Humanos e Cidadania,ODS São Paulo;anual;"Secretaria de Segurança Pública (SSP); Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
8;12.05.06 Resíduos recebidos nos pontos de coletas voluntários - PCV (ton);Meio Ambiente,ODS São Paulo;anual;"Autoridade Municipal de Limpeza Urbana (Amlurb); Secretaria Municipal das Subprefeituras (SMSUB)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
9;04.01.03 Taxa de distorção da idade-ano para o ano no Ensino Fundamental nos anos iniciais (%);Educação,ODS São Paulo;anual;"Censo escolar do Ministério da Educação (MEC); Secretaria Municipal da Educação (SME)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
10;02.02.02 Déficit de peso em crianças menores de cinco anos (%);ODS São Paulo,Saúde;anual;Sistema de Vigilância Alimentar e Nutricional (SISVAN)/Secretaria Municipal de Saúde (SMS)/Coordenação de Epidemiologia e Informação/Secreta (CEInfo);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
11;Taxa de ocorrências registradas de furto e roubo de veículos (por 100 mil hab);Segurança e Violência;anual;"Fundação Sistema Estadual de Análise de Dados (SEADE) Secretaria de Segurança Pública (SSP); Secretaria de Desenvolvimento Urbano (SMDU)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
12;Selos (inicial, intermediário e pleno) adquiridos em conformidade com o Programa São Paulo Amigo do Idoso;Direitos Humanos e Cidadania,PPA 2018-2021;anual;Secretaria Municipal de Direitos Humanos e Cidadania (SMDHC);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
13;Proporção de empregos formais no setor de Serviços do Município em relação aos Serviços do Estado (%);Economia Trabalho e Renda;anual;"Relação Anual de Informações Sociais (RAIS); Secretaria Municipal de Desenvolvimento Econômico e Trabalho (SMDET)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
14;10.02.02 Número de pessoas beneficiárias do Programa Transcidadania;Assistência Social,Direitos Humanos e Cidadania,ODS São Paulo,PPA 2018-2021;anual;Secretaria Municipal de Direitos Humanos (SMDHC);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
15;01.03.01 Quantidade de famílias que recebem recursos dos programas de transferência de renda;Assistência Social,ODS São Paulo;anual;Secretaria Municipal de Assistência e Desenvolvimento Social (SMADS);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
16;15.01.01 Área do MSP correspondente a parques urbanos e lineares (%);Meio Ambiente,ODS São Paulo;anual;SVMA / CPA / DIA;False;2020.0;1.0;2022;False;Não;2021.0;-1.0
17;Proporção de empregos formais na Construção Civil do Município (%);Economia Trabalho e Renda;anual;"Secretaria Municipal do Desenvolvimento Econômico e do Trabalho (SMDET); Relação Anual de Informações Sociais (RAIS)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
18;17.04.02 Despesas municipais de capital com Amortização da dívida (R$);ODS São Paulo,Finanças Públicas;anual;Secretaria Municipal da Fazenda (SF);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
19;09.0c.09 Número de circulantes nos espaços de trabalho colaborativos gratuitos - Teias;Economia Trabalho e Renda,ODS São Paulo;anual;Secretaria Municipal de Desenvolvimento Econômico e Trabalho (SMDET).;False;2020.0;1.0;2022;False;Não;2021.0;-1.0
20;11.02.09 Percentual do viário da cidade com vias dedicadas aos ciclistas (ciclovias, ciclofaixas e ciclorrotas) (%);Mobilidade e Segurança no Trânsito,ODS São Paulo;anual;"Companhia de Engenharia de Tráfego (CET); Secretaria Municipal de Mobilidade e transportes (SMT)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
21;Alunos da rede municipal de ensino da raça/cor preta (%);Educação;anual;Secretaria Municipal de Educação (SME);False;2021.0;1.0;2022;True;Sim;2021.0;0.0
22;04.02.02 Taxa de Universalização da Educação Infantil (somente pré-escola) (%);Educação,ODS São Paulo,PPA 2018-2021;anual;"Fundação Sistema Estadual de Análise de Dados (SEADE)
Censo Ministério da Educação (MEC); Secretaria Municipal de Educação (SME)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
23;Unidades de Habitação de Interesse Social (HIS) licenciadas;Desenvolvimento Urbano;anual;Secretaria Municipal de Urbanismo e Licenciamento (SMUL);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
24;Responsáveis por domicílios com rendimento de mais de 1/2 até 1 Salário Mínimo (%);Economia Trabalho e Renda;decenal;Instituto Brasileiro de Geografia e Estatística (IBGE);True;2010.0;10.0;2022;False;Não;2012.0;-2.0
25;15.05.06 Animais silvestres oriundos de ação de repressão ao tráfico ou venda ilegal – Polícias (Civil e Militar), GCM e órgãos de fiscalização (Ibama, SIMA) (%);Meio Ambiente,ODS São Paulo;anual;Secretaria Municipal do Verde e do Meio Ambiente (SVMA) / Coordenação de Gestão de Parques e Biodiversidade Municipal (CGPABI) / Divisão da Fauna Silvestre (DFS);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
26;Mortes de ciclistas no trânsito (por 10 mil veículos);Mobilidade e Segurança no Trânsito;anual;"Coordenadoria Estadual de Trânsito de São Paulo (DETRAN-SP); Secretaria de Segurança Pública (SSP); Companhia de Engenharia de Tráfego (CET); Secretaria Municipal de Mobilidade e Trânsito (SMT)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
27;População com deficiência visual em relação ao total de pessoas com deficiência (%);Acessibilidade e Pessoa com Deficiência;anual;Secretaria Municipal da Pessoa com Deficiência (SMPED);False;2010.0;1.0;2022;False;Não;2021.0;-11.0
28;05.05.11 Percentual de Mulheres em cargos gerenciais no governo do município (%);Gestão Pública,ODS São Paulo;anual;"Coordenadoria de Gestão de Desenvolvimento Institucional, da Secretaria Municipal de Gestão - COGEDI/SG; Secretaria do Governo Municipal (SGM)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
29;12.05.05 Resíduo coletado no Ecoponto (ton);Meio Ambiente,ODS São Paulo;anual;"Autoridade Municipal de Limpeza Urbana (Amlurb); Secretaria Municipal das Subprefeituras (SMSUB)";False;2021.0;1.0;2022;True;Sim;2021.0;0.0
30;Despesa realizada pela Prefeitura Municipal de São Paulo com a função orçamentária Segurança Pública (%);Finanças Públicas;anual;Secretaria Municipal da Fazenda (SF);False;2020.0;1.0;2022;False;Não;2021.0;-1.0
31;17.17.03 Valor de repasses para o Terceiro Setor (R$);Gestão Pública,ODS São Paulo;anual;"Coordenação de Parcerias com o Terceiro Setor - COPATS, Secretaria Executiva de Gestão - SEGES; Secretaria do Governo Municipal (SGM)";False;2020.0;1.0;2022;False;Não;2021.0;-1.0
